0,2902
1,1786
2,1166
3,1148
4,1255
5,1244
6,1348
7,1290
8,1153
9,1330
10,1218
11,942
12,1047
13,1071
14,1255
15,1012
16,940
17,959
18,876
19,949
20,1078
21,932
22,996
23,1258
24,948
25,1031
26,931
27,1096
28,1225
29,1055
30,1411
31,1180
32,1122
33,1154
34,925
35,989
36,996
37,1003
38,919
39,978
40,1095
41,1144
42,976
43,941
44,1094
45,937
46,911
47,977
48,1138
49,947
50,993
51,982
52,898
53,1018
54,962
55,1094
56,950
57,966
58,953
59,948
60,896
61,1025
62,1085
63,985
64,997
65,965
66,982
67,1254
68,1250
69,1282
70,1101
71,995
72,953
73,977
74,923
75,972
76,928
77,910
78,934
79,1106
80,1005
81,955
82,897
83,918
84,953
85,957
86,955
87,941
88,873
89,899
90,915
91,943
92,931
93,947
94,937
95,900
96,988
97,933
98,997
99,904
100,1047
101,982
102,947
103,925
104,925
105,948
106,1035
107,977
108,981
109,924
110,993
111,940
112,982
113,946
114,950
115,924
116,980
117,1006
118,946
119,924
120,993
121,1011
122,931
123,926
124,926
125,1036
126,957
127,947
128,1720
129,925
130,1030
131,961
132,979
133,961
134,930
135,963
136,945
137,946
138,1051
139,938
140,1071
141,1004
142,925
143,926
144,931
145,926
146,970
147,925
148,925
149,925
150,925
151,952
152,925
153,930
154,932
155,953
156,960
157,1005
158,931
159,926
160,926
161,1103
162,926
163,927
164,927
165,933
166,1015
167,931
168,925
169,951
170,975
171,941
172,930
173,925
174,926
175,945
176,927
177,1048
178,932
179,960
180,1010
181,1079
182,948
183,927
184,987
185,963
186,953
187,955
188,926
189,1270
190,993
191,925
192,1097
193,1261
194,1005
195,926
196,932
197,955
198,951
199,977
200,1106
201,999
202,962
203,965
204,953
205,927
206,928
207,1248
208,1034
209,937
210,947
211,1093
212,954
213,941
214,995
215,993
216,940
217,1063
218,1007
219,1248
220,1075
221,987
222,1048
223,1676
224,977
225,979
226,993
227,988
228,1311
229,974
230,977
231,1078
232,944
233,949
234,1031
235,1039
236,1006
237,980
238,1681
239,1010
240,1013
241,1076
242,981
243,945
244,1050
245,945
246,1189
247,978
248,1014
249,1063
250,1026
251,1111
252,975
253,1004
254,968
255,977
256,963
257,968
258,1099
259,977
260,1123
261,945
262,944
263,967
264,1053
265,994
266,965
267,936
268,1037
269,975
270,1122
271,967
272,1008
273,1061
274,1018
275,1075
276,998
277,933
278,933
279,935
280,966
281,926
282,996
283,991
284,982
285,925
286,993
287,924
288,924
289,936
290,1040
291,1271
292,1011
293,1074
294,952
295,925
296,989
297,1059
298,991
299,1022
300,1056
301,1018
302,1017
303,1126
304,1054
305,1022
306,1139
307,1024
308,990
309,1011
310,1118
311,1044
312,1119
313,1127
314,1054
315,985
316,1050
317,1023
318,997
319,1031
320,1041
321,1003
322,1020
323,1028
324,1275
325,1183
326,1060
327,1004
328,1014
329,1024
330,1056
331,1074
332,988
333,1005
334,1161
335,1139
336,989
337,1119
338,1035
339,1022
340,1000
341,1000
342,1011
343,1255
344,1027
345,1000
346,1024
347,1077
348,1038
349,1153
350,1219
351,1092
352,1060
353,1085
354,1029
355,1088
356,1005
357,1046
358,1047
359,1124
360,1075
361,1078
362,1007
363,1170
364,1133
365,1158
366,1157
367,991
368,1017
369,1106
370,1082
371,1090
372,1054
373,1080
374,1032
375,1165
376,1022
377,963
378,1075
379,1041
380,939
381,995
382,1008
383,1035
384,1225
385,1226
386,1249
387,1048
388,1126
389,1073
390,1094
391,1100
392,1178
393,1088
394,1203
395,1283
396,1106
397,1155
398,1148
399,1275
400,1205
401,1373
402,1163
403,1095
404,1111
405,1223
406,1142
407,1218
408,1204
409,1162
410,1247
411,1109
412,1123
413,1217
414,1084
415,1255
416,1188
417,1115
418,1135
419,1036
420,1173
421,1085
422,1120
423,1039
424,1048
425,1086
426,1053
427,1900
428,1034
429,1052
430,1140
431,1123
432,1030
433,1023
434,1136
435,1009
436,1007
437,981
438,980
439,1016
440,1287
441,977
442,946
443,1033
444,1102
445,990
446,1101
447,956
448,976
449,1020
450,1135
451,1174
452,1104
453,1133
454,1070
455,1039
456,1083
457,1074
458,986
459,973
460,1075
461,997
462,462
463,991
464,1079
465,994
466,1047
467,1119
468,997
469,963
470,963
471,976
472,1448
473,1022
474,1079
475,1108
476,1105
477,1038
478,1109
479,1210
480,1121
481,931
482,920
483,449
484,1082
485,979
486,910
487,982
488,990
489,907
490,878
491,970
492,908
493,990
494,908
495,942
