# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = ex3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = ex3_4.data.R
# init = 2 (Default)
# random
#   seed = 4133938464
# output
#   file = ex3_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu1,mu2,sigma
# Adaptation terminated
# Step size = 0.98748
# Diagonal elements of inverse mass matrix:
# 0.647369, 0.967331, 0.0112386
-98.6114,0.857197,0.98748,2,3,0,99.6825,0.152319,1.1883,4.7324
-101.814,0.737424,0.98748,2,3,0,101.93,2.26743,1.92949,5.06016
-99.6818,1,0.98748,2,3,0,101.937,-0.782522,2.05384,4.52323
-99.2665,0.99062,0.98748,2,3,0,100.304,1.14764,0.678732,4.72348
-99.2198,0.99955,0.98748,2,3,0,99.3811,-0.621646,1.58115,4.3929
-99.2198,0.436378,0.98748,2,3,0,103.605,-0.621646,1.58115,4.3929
-99.1635,0.974452,0.98748,2,3,0,99.9617,0.773314,0.33424,4.82966
-99.1635,0.598328,0.98748,2,3,0,102.85,0.773314,0.33424,4.82966
-99.932,0.903884,0.98748,2,3,0,100.677,1.08834,1.66203,5.21074
-98.6449,0.893537,0.98748,1,3,0,100.738,0.0355703,0.772872,4.38807
-100.509,0.722857,0.98748,2,3,0,101.123,-0.60726,2.9075,4.7058
-100.512,0.884559,0.98748,2,3,0,102.955,-0.960882,2.30688,5.10481
-102.755,0.842675,0.98748,2,3,0,104.284,-1.80835,-0.732501,4.94999
-100.507,0.794701,0.98748,2,3,0,105.962,-0.807143,2.74506,4.69542
-101.456,0.905898,0.98748,2,3,0,101.919,1.47945,-0.822324,4.56043
-98.857,0.893036,0.98748,2,3,0,102.633,-0.438383,0.842473,4.59267
-99.906,0.865402,0.98748,2,3,0,100.345,-0.490791,2.5215,4.85205
-99.7017,0.994882,0.98748,2,3,0,100.607,-0.417707,-0.268461,4.57786
-100.019,0.937367,0.98748,2,3,0,100.931,0.726219,1.05122,5.40591
-98.8044,0.865282,0.98748,2,3,0,102.591,-0.217301,0.621285,4.41968
-98.8078,0.899434,0.98748,2,3,0,99.9618,0.143779,1.49639,4.85433
-99.804,0.901495,0.98748,2,3,0,100.119,1.06035,2.12083,4.99663
-99.3503,1,0.98748,2,3,0,99.9987,1.20213,1.6293,4.60958
-99.1854,0.803812,0.98748,2,7,0,101.052,-0.464637,0.327479,4.73808
-99.5665,0.901614,0.98748,2,3,0,100.643,-0.161767,1.9682,4.11276
-99.4791,0.772267,0.98748,2,3,0,101.17,0.943981,1.82185,4.99234
-99.4358,0.893496,0.98748,2,3,0,101.829,-0.402974,-0.0622328,4.62239
-99.5049,0.965133,0.98748,2,3,0,99.8964,0.668108,2.40826,4.73199
-100.513,0.776132,0.98748,2,3,0,102.147,-1.15775,-0.0984914,4.7643
-100.17,1,0.98748,1,1,0,100.779,-1.00726,-0.00563401,4.58009
-99.3894,1,0.98748,2,3,0,100.681,-0.17293,2.296,4.80227
-100.086,0.775983,0.98748,1,3,0,102.876,0.296703,-0.716922,4.63642
-99.0422,1,0.98748,2,3,0,99.8754,0.331975,0.0669226,4.58574
-99.3424,0.840585,0.98748,2,3,0,101.311,0.0628891,2.18093,4.93238
-99.7497,0.958299,0.98748,2,3,0,100.053,-0.387441,0.0591482,4.19218
-102.092,0.686503,0.98748,1,1,0,102.461,-0.90742,0.170814,3.80453
-103.072,0.806167,0.98748,1,1,0,104.56,-0.650507,-0.322701,3.70579
-102.231,1,0.98748,2,3,0,104.682,0.732754,0.480083,3.59076
-99.502,1,0.98748,2,3,0,102.61,1.26413,0.481742,4.69064
-99.5872,0.977408,0.98748,2,3,0,99.9952,1.18324,0.489963,4.31877
-101.444,0.755725,0.98748,2,3,0,102.248,-0.964747,-0.75896,5.21603
-99.9874,0.98399,0.98748,2,3,0,102.131,1.38028,1.73622,4.29236
-99.0078,1,0.98748,2,3,0,100.213,0.00270544,1.70809,4.91806
-98.8197,1,0.98748,2,3,0,99.1598,0.805598,1.22891,4.42241
-100.39,0.65866,0.98748,2,3,0,101.884,-0.190286,1.09142,5.5568
-100.281,0.99756,0.98748,2,3,0,100.633,0.580901,1.0813,3.81403
-99.7565,0.661648,0.98748,2,3,0,102.814,0.390316,-0.179888,5.07241
-98.7065,0.913547,0.98748,2,3,0,100.946,-0.0769518,1.3876,4.3484
-99.3214,0.806708,0.98748,2,3,0,100.865,0.395739,0.695764,5.14143
-100.649,0.938866,0.98748,2,3,0,100.778,0.397477,1.22027,5.6613
-101.019,0.965172,0.98748,2,3,0,101.717,0.443591,-0.2684,3.89948
-101.519,0.976689,0.98748,2,3,0,102.306,0.205921,1.06712,5.93205
-100.615,0.990347,0.98748,2,7,0,102.467,-0.283874,-0.841492,4.45847
-99.9154,0.987811,0.98748,2,3,0,100.878,1.10258,2.40098,4.79268
-98.7333,0.988981,0.98748,2,3,0,99.7154,0.204418,0.438811,4.50236
-99.2853,0.840881,0.98748,2,3,0,100.039,0.463886,2.30632,4.71588
-99.7453,0.905281,0.98748,2,3,0,100.679,1.40545,1.135,4.94588
-99.4053,0.813766,0.98748,2,3,0,101.69,0.471982,0.616617,4.04202
-100.442,0.797651,0.98748,2,3,0,101.364,-1.33973,1.01728,5.02426
-99.9636,0.989953,0.98748,2,7,0,101.428,0.588563,2.7011,4.90956
-98.9251,0.816362,0.98748,2,3,0,103.04,0.370068,1.12862,4.96872
-99.8649,0.928121,0.98748,2,3,0,100.133,-0.390354,0.843081,5.3161
-99.1335,1,0.98748,2,3,0,99.8747,-0.510228,1.32433,4.88786
-98.9011,0.993393,0.98748,2,3,0,99.4779,0.0755659,0.504777,4.85265
-99.8509,0.923844,0.98748,2,3,0,100.171,1.5752,1.16372,4.73278
-100.158,0.967595,0.98748,2,3,0,100.286,-1.22244,0.982383,4.4003
-99.6841,1,0.98748,2,3,0,100.687,-0.712834,0.939026,5.1143
-102.631,0.791568,0.98748,2,3,0,103.227,-1.79506,0.288739,4.19454
-102.241,1,0.98748,2,3,0,104.355,0.058491,-0.0954329,6.02251
-99.8356,1,0.98748,2,3,0,102.192,-0.919995,1.18855,4.2287
-99.8575,1,0.98748,2,3,0,100.261,1.42627,1.12777,5.00719
-101.574,0.673411,0.98748,2,3,0,103.628,-0.00577349,-0.159208,5.80187
-99.5593,1,0.98748,2,3,0,101.569,-0.533487,0.281642,4.99457
-99.4804,0.974739,0.98748,2,3,0,100.516,0.768579,2.17133,4.32396
-99.4804,0.757508,0.98748,1,1,0,100.813,0.768579,2.17133,4.32396
-99.4804,0.574947,0.98748,2,3,0,103.507,0.768579,2.17133,4.32396
-100.727,0.824731,0.98748,2,3,0,101.175,-1.40547,1.03174,5.14121
-99.6558,0.991716,0.98748,2,3,0,101.401,0.606934,-0.270417,4.87187
-99.6912,0.999291,0.98748,2,3,0,100.343,0.926033,2.33244,4.43569
-99.7912,0.966365,0.98748,2,3,0,100.452,-0.458623,-0.298787,4.74699
-99.8776,0.989035,0.98748,2,3,0,100.67,1.19948,1.59215,4.15741
-98.9731,1,0.98748,2,3,0,100.32,0.0418031,1.78461,4.869
-100.106,0.920748,0.98748,2,3,0,100.212,-0.10716,1.59268,5.43894
-102.65,0.807819,0.98748,2,3,0,105.556,2.59493,1.83477,4.7278
-101.412,1,0.98748,1,1,0,102.698,2.09303,2.10243,4.84357
-101.54,0.847159,0.98748,2,3,0,105.086,-1.63293,0.0541385,5.09948
-102.071,0.987855,0.98748,1,1,0,102.397,-1.72748,0.178558,5.38644
-99.2297,0.928581,0.98748,1,3,0,102.687,-0.00929469,0.934977,5.11824
-99.7792,0.974327,0.98748,2,3,0,100.135,1.45841,0.923152,4.39625
-100.228,0.90455,0.98748,2,3,0,101.392,0.981696,-0.44468,4.95812
-100.822,0.852796,0.98748,2,3,0,102.524,-1.38602,2.05865,4.53482
-102.659,0.722786,0.98748,2,3,0,104.08,-0.00184173,0.187168,6.18531
-99.9246,0.883048,0.98748,2,3,0,103.808,-1.15018,1.06272,4.85715
-101.212,0.761443,0.98748,2,7,0,102.559,0.787973,0.075126,5.6948
-100.218,0.970447,0.98748,2,3,0,101.898,0.309024,1.80797,3.86703
-100.218,0.78349,0.98748,1,1,0,101.51,0.309024,1.80797,3.86703
-99.6904,0.930191,0.98748,2,3,0,101.678,0.283619,2.11206,5.17253
-99.1753,0.891561,0.98748,1,3,0,101.364,0.0899713,0.00106338,4.42172
-98.8974,0.982751,0.98748,2,3,0,99.6274,0.924931,1.26203,4.52715
-99.7469,0.888662,0.98748,2,3,0,100.202,-0.670938,0.892205,4.10305
-99.0816,1,0.98748,2,3,0,99.7467,-0.162203,0.425096,4.25596
-98.5997,0.947955,0.98748,2,3,0,99.5762,-0.0780998,0.931432,4.60058
-100.477,0.819136,0.98748,2,3,0,100.813,-0.058263,0.562098,5.56897
-99.2843,1,0.98748,2,3,0,100.873,-0.294191,1.80179,4.98209
-98.8975,0.909801,0.98748,2,3,0,100.852,0.6468,0.408001,4.48992
-98.6603,0.999937,0.98748,2,7,0,98.8741,0.0109808,1.49136,4.67707
-98.5443,0.915007,0.98748,2,3,0,99.4357,0.221945,0.885299,4.47661
-98.5439,0.948338,0.98748,2,3,0,99.002,0.19401,1.01068,4.63488
-100.574,0.732803,0.98748,1,3,0,101.22,-0.31252,-0.892648,4.67462
-99.4504,0.796678,0.98748,1,3,0,103.744,0.947193,2.15571,4.70772
-98.8165,0.994941,0.98748,2,3,0,99.714,-0.0681867,1.81145,4.58796
-98.7734,0.999117,0.98748,2,3,0,98.8809,0.468976,0.451346,4.50382
-98.7211,0.946581,0.98748,2,3,0,99.406,0.304226,1.70381,4.65242
-100.295,0.786808,0.98748,2,3,0,101.036,1.27239,0.0312736,4.2475
-100.273,0.973404,0.98748,2,7,0,101.984,-0.337673,2.81422,4.42106
-98.857,0.957045,0.98748,2,3,0,100.907,-0.372732,1.05615,4.75754
-100.694,0.625627,0.98748,2,3,0,102.997,1.27801,2.79019,4.89657
-101.888,0.849068,0.98748,1,1,0,102.153,1.38849,3.36634,4.6363
-102.307,0.75214,0.98748,2,7,0,105.215,2.07088,1.41638,5.67377
-99.5668,0.990291,0.98748,2,3,0,102.728,0.500232,2.33484,4.96321
-99.7306,0.981163,0.98748,2,3,0,100.349,-0.322972,-0.119848,4.27866
-99.7306,0.718078,0.98748,2,3,0,101.762,-0.322972,-0.119848,4.27866
-106.65,0.379133,0.98748,2,3,0,108.463,2.7697,3.53296,6.23619
-104.824,1,0.98748,2,3,0,108.268,-1.77577,-0.646413,4.02149
