# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = ex3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = ex3_1.data.R
# init = 2 (Default)
# random
#   seed = 4133938448
# output
#   file = ex3_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu1,mu2,sigma
# Adaptation terminated
# Step size = 1.04763
# Diagonal elements of inverse mass matrix:
# 0.744958, 1.12981, 0.0102489
-102.352,0.583133,1.04763,2,3,0,103.41,0.550167,2.75902,5.93371
-103.147,0.863449,1.04763,2,3,0,106.659,-1.03013,3.8724,4.66306
-103.706,0.913278,1.04763,2,3,0,106.803,0.465569,-2.25294,5.35205
-98.6891,0.760393,1.04763,2,3,0,104.629,0.602049,1.05155,4.38083
-98.8638,0.982789,1.04763,2,3,0,98.9625,-0.37638,1.5385,4.61263
-99.453,0.928735,1.04763,2,3,0,99.6905,0.0458238,2.23185,4.24781
-99.5895,0.945647,1.04763,2,3,0,100.384,-0.861552,0.761821,4.33779
-102.283,0.470053,1.04763,2,3,0,105.17,-0.41698,2.77983,5.86593
-99.3837,1,1.04763,2,3,0,102.638,0.389371,2.41547,4.51122
-99.2887,0.950903,1.04763,2,3,0,100.187,0.801027,0.0942243,4.47469
-100.488,0.547508,1.04763,2,3,0,105.228,0.529675,1.56666,5.57705
-99.9463,0.966918,1.04763,2,3,0,101.701,-0.107147,0.467363,3.93348
-99.9463,0.44344,1.04763,2,3,0,104.173,-0.107147,0.467363,3.93348
-98.8891,0.996958,1.04763,2,3,0,100.382,0.41694,1.08416,4.94013
-102.018,0.625089,1.04763,1,3,0,102.381,2.26898,1.19865,4.32434
-99.1767,1,1.04763,2,3,0,101.789,0.540071,0.0757682,4.77119
-99.6932,0.9213,1.04763,2,3,0,100.054,-0.152528,2.45557,4.93888
-98.6775,0.961685,1.04763,2,3,0,99.923,0.358471,1.09063,4.2923
-98.861,0.914163,1.04763,2,3,0,99.2788,-0.388282,0.706362,4.62141
-98.7812,0.966706,1.04763,2,3,0,99.1472,0.0172364,1.69612,4.3821
-100.425,0.61699,1.04763,2,3,0,101.575,0.722251,2.70421,5.18055
-100.64,0.949335,1.04763,2,3,0,101.734,1.01692,-0.789169,4.76377
-100.753,0.83916,1.04763,2,3,0,102.396,0.56273,0.803747,5.67401
-100.25,0.982388,1.04763,2,3,0,101.712,-0.75808,1.69714,5.30591
-99.6259,1,1.04763,2,3,0,100.391,-0.582714,0.799912,5.13764
-98.8572,0.783034,1.04763,2,3,0,102.346,0.768164,1.54704,4.45985
-98.8365,1,1.04763,2,3,0,99.061,0.131198,1.82901,4.39531
-98.7007,0.83401,1.04763,2,3,0,99.875,0.372546,0.842426,4.30573
-99.4375,0.738701,1.04763,2,3,0,100.067,-0.729551,1.84038,4.72119
-99.2855,0.73421,1.04763,2,3,0,101.669,1.01036,1.40006,4.25673
-100.047,0.831388,1.04763,2,3,0,100.633,-0.940031,1.03519,5.16889
-99.3172,1,1.04763,2,3,0,100.285,-0.827105,0.897518,4.55651
-99.3172,0.409581,1.04763,2,3,0,103.29,-0.827105,0.897518,4.55651
