# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = ex3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = ex3_3.data.R
# init = 2 (Default)
# random
#   seed = 4133938457
# output
#   file = ex3_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu1,mu2,sigma
# Adaptation terminated
# Step size = 1.08682
# Diagonal elements of inverse mass matrix:
# 0.703061, 1.18189, 0.00875794
-102.839,0.716941,1.08682,2,3,0,105.542,2.29306,-0.254322,5.46658
-99.8586,0.870656,1.08682,2,3,0,104.706,0.0349413,-0.522486,4.82599
-99.1126,0.894368,1.08682,2,3,0,101.015,0.0659386,2.19687,4.63978
-99.3001,0.979427,1.08682,2,3,0,99.8681,0.657473,0.953824,5.11209
-99.7205,0.949674,1.08682,2,3,0,100.267,0.426471,1.3819,3.92379
-98.9058,0.960832,1.08682,2,3,0,100.067,-0.352131,0.931851,4.81163
-99.7278,0.711291,1.08682,2,3,0,101.547,0.431338,1.14518,3.9109
-99.7278,0.447995,1.08682,2,3,0,102.66,0.431338,1.14518,3.9109
-99.7595,0.649146,1.08682,2,3,0,102.263,-0.542305,2.0418,5.06446
-99.0602,0.968054,1.08682,1,3,0,99.7199,-0.0631063,1.99696,4.79014
-98.9566,0.83829,1.08682,2,3,0,100.95,0.256333,0.189472,4.69618
-100.881,0.743327,1.08682,2,3,0,101.515,-0.434253,0.0916262,3.88633
-100.6,1,1.08682,2,3,0,101.48,0.551741,2.77447,5.26913
-101.672,0.933765,1.08682,1,1,0,101.812,0.622352,3.13585,5.53303
-102.009,0.891763,1.08682,2,3,0,103.013,0.0450415,-1.58955,4.57087
-101.18,1,1.08682,2,3,0,103.268,0.885767,1.56449,5.74987
-102.343,0.869732,1.08682,2,3,0,104.35,-1.3369,2.66628,4.17002
-100.518,1,1.08682,2,3,0,104.804,0.354455,1.38769,5.6141
-102.1,0.849595,1.08682,2,3,0,103.927,1.99236,0.213564,4.15761
-99.7171,1,1.08682,1,1,0,101.399,1.38877,0.845844,4.3569
-100.127,0.961789,1.08682,2,3,0,100.507,-1.02795,2.04265,4.89507
-101.406,0.919025,1.08682,2,3,0,101.905,1.99293,0.846756,4.24406
-100.666,1,1.08682,2,3,0,102.283,-1.49995,0.88556,4.54607
-99.4153,1,1.08682,2,3,0,100.611,0.925569,1.67255,5.01081
-98.8913,1,1.08682,2,3,0,99.491,0.0625257,0.241391,4.53633
-99.9394,0.885267,1.08682,2,3,0,100.076,1.00464,2.03323,5.15031
-100.183,0.968751,1.08682,2,3,0,100.49,-0.679875,-0.133652,4.27076
-102.72,0.469813,1.08682,2,3,0,106.614,-0.282693,0.900549,6.23756
-99.5613,0.848141,1.08682,2,3,0,104.068,0.334349,0.376272,4.03427
-98.7747,0.877263,1.08682,2,3,0,100.209,0.391691,1.30587,4.85256
-98.5552,0.89125,1.08682,2,3,0,99.8672,0.0755578,0.933168,4.45721
-101.386,0.590822,1.08682,1,3,0,101.814,0.571932,3.47379,4.50033
-100.553,1,1.08682,2,3,0,101.165,-0.368006,-0.858872,4.75751
-100.102,1,1.08682,2,3,0,101.392,-0.565626,2.6709,4.675
-100.357,0.704479,1.08682,2,3,0,102.54,1.38805,-0.139812,4.95121
-99.3528,1,1.08682,1,1,0,100.188,0.768412,0.238424,4.9352
-100.625,0.890412,1.08682,2,3,0,101.391,-1.40277,1.23169,4.37624
-99.0944,1,1.08682,2,3,0,100.703,-0.162906,0.420831,4.90733
-98.8067,1,1.08682,2,3,0,99.256,0.44857,0.38407,4.58365
-98.8067,0.692753,1.08682,1,3,0,100.307,0.44857,0.38407,4.58365
-98.609,0.954261,1.08682,2,3,0,99.0449,-0.100821,1.04262,4.63256
-99.9413,0.776561,1.08682,1,3,0,100.437,1.40712,2.02726,4.72836
-99.0558,1,1.08682,2,3,0,99.9947,-0.0134127,0.355996,4.89174
-104.447,0.561015,1.08682,1,3,0,107.002,-1.70996,3.844,5.48916
-100.893,0.841179,1.08682,2,3,0,103.98,1.0609,-0.855694,4.95931
-99.9674,0.951747,1.08682,2,3,0,102.498,-0.418465,2.66817,4.7367
-99.3612,1,1.08682,2,3,0,100.121,0.0411227,1.78715,5.10568
-100.414,0.954356,1.08682,2,3,0,100.559,0.723557,2.39317,5.333
-99.0354,0.860783,1.08682,2,3,0,101.713,-0.384865,1.51954,4.29887
-100.092,0.90606,1.08682,2,3,0,100.32,-0.29747,0.647164,3.90616
-100.345,0.895246,1.08682,2,3,0,101.138,1.4848,1.64339,5.18429
-100.235,0.85643,1.08682,2,3,0,101.74,-0.0726667,0.605231,5.48838
-100.15,0.994583,1.08682,2,3,0,100.842,0.403735,2.02499,3.9382
-99.0207,0.89855,1.08682,2,3,0,101.073,0.711273,0.936135,4.93558
-99.0207,0.694282,1.08682,1,3,0,102.106,0.711273,0.936135,4.93558
-98.9941,0.935733,1.08682,1,3,0,99.8764,-0.0830809,0.653251,4.20101
-101.071,0.511498,1.08682,2,3,0,102.703,0.204197,3.44914,4.84431
-99.0289,1,1.08682,2,3,0,101.13,0.737226,0.567942,4.84841
-100.227,0.7015,1.08682,2,3,0,101.577,-1.09428,0.0857057,4.59744
-99.7115,0.891389,1.08682,2,3,0,101.401,0.807874,-0.157007,4.92326
-98.9294,0.957833,1.08682,2,3,0,99.9466,0.86412,1.56149,4.61925
-100.85,0.74695,1.08682,2,3,0,101.597,-1.01689,1.16205,3.97787
-101.165,0.933408,1.08682,2,3,0,101.741,1.67132,0.929939,5.48167
-99.5718,0.898034,1.08682,2,3,0,101.915,0.298787,2.28281,4.21358
-99.3764,0.552614,1.08682,2,3,0,102.558,0.913468,1.09427,5.06799
-98.5774,0.987813,1.08682,1,3,0,99.4292,0.246153,0.750197,4.56443
-99.3128,0.807682,1.08682,2,3,0,100.645,-0.537086,1.69522,4.28934
-100.719,0.839375,1.08682,2,3,0,100.846,1.02572,0.311396,5.5144
-99.7319,0.976074,1.08682,2,3,0,101.385,-0.392213,1.28159,5.26541
-99.4794,0.994694,1.08682,2,3,0,100.165,0.458504,0.468485,4.04864
-99.8614,0.882805,1.08682,2,3,0,100.765,0.654967,1.37805,5.34913
-100.804,0.927165,1.08682,1,1,0,100.87,0.670804,1.46781,5.67313
-100.19,1,1.08682,2,3,0,101.233,-0.206096,0.729647,3.85802
-101.536,0.745748,1.08682,1,1,0,102.164,-0.392068,-0.0106306,3.78684
-99.7311,1,1.08682,2,3,0,101.726,0.123019,2.34898,4.18425
-99.7584,0.857693,1.08682,2,3,0,101.118,0.583424,0.433738,5.26538
-98.8714,0.764858,1.08682,2,3,0,103.633,0.756482,0.979799,4.79913
-99.509,0.876616,1.08682,2,3,0,100.044,-0.479578,2.20227,4.44202
-99.9397,0.970874,1.08682,2,3,0,100.451,0.954185,-0.329502,4.82715
-99.3807,0.951894,1.08682,2,3,0,100.475,0.710495,1.53187,5.1071
-100.36,0.895526,1.08682,2,3,0,100.77,1.4457,0.0657867,5.04175
-99.0291,1,1.08682,2,3,0,100.368,0.167342,2.03358,4.77711
-103.276,0.505527,1.08682,1,3,0,103.909,-0.694918,2.95199,3.82333
-103.055,1,1.08682,2,3,0,104.974,1.68809,0.809027,6.11302
-100.65,0.979653,1.08682,2,3,0,103.708,-0.878152,1.38313,3.96441
-99.0541,1,1.08682,2,3,0,100.249,-0.115172,1.85274,4.2913
-99.8274,0.738174,1.08682,2,3,0,101.047,1.42381,0.375087,4.73914
-99.8274,0.526967,1.08682,1,1,0,103.863,1.42381,0.375087,4.73914
-98.8181,0.970761,1.08682,2,3,0,100.311,0.506703,1.30732,4.85916
-98.5753,0.987294,1.08682,2,3,0,98.9101,0.461113,1.05259,4.4548
-100.715,0.626568,1.08682,2,3,0,101.924,-1.05501,2.20322,5.20431
-102.032,0.938658,1.08682,2,3,0,102.818,-0.0629145,3.67117,5.32233
-100.028,0.9384,1.08682,2,3,0,101.997,-0.48224,-0.431148,4.83056
